,Category,Description,Data.Cholesterol,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin C,Data.Fiber,Data.Major Minerals.Calcium,Data.Protein,Data.Fat.Monosaturated Fat,Data.Major Minerals.Sodium,Data.Major Minerals.Iron,Data.Sugar Total
631,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread",43,142,0.1,2.8,362,15.87,4.95,547,1.68,2.79
632,Cheese sauce,Cheese sauce,8,20,0.0,0.3,74,3.24,5.066,651,0.53,0.29
633,Alfredo sauce,Alfredo sauce,46,159,0.2,0.0,67,2.37,3.8,558,0.05,0.88
634,Alfredo sauce with added vegetables,Alfredo sauce with added vegetables,35,131,10.1,0.3,54,2.28,2.908,428,0.16,1.43
635,Alfredo sauce with meat,Alfredo sauce with meat,54,130,0.1,0.0,59,6.72,4.493,528,0.51,0.72
636,Alfredo sauce with meat and added vegetables,Alfredo sauce with meat and added vegetables,45,107,8.2,0.3,49,6.64,3.768,422,0.59,1.16
637,Alfredo sauce with poultry,Alfredo sauce with poultry,54,132,0.1,0.0,59,7.1,3.544,522,0.23,0.72
638,Alfredo sauce with poultry and added vegetables,Alfredo sauce with poultry and added vegetables,45,109,8.2,0.3,48,7.03,2.82,416,0.32,1.16
639,Alfredo sauce with seafood,Alfredo sauce with seafood,66,143,0.5,0.0,74,6.11,3.116,545,0.49,0.72
640,Alfredo sauce with seafood and added vegetables,Alfredo sauce with seafood and added vegetables,57,120,8.6,0.3,64,6.04,2.391,440,0.58,1.16
641,Mozzarella sticks,"Mozzarella sticks, breaded, baked, or fried",36,99,0.0,2.0,334,14.75,4.328,861,0.62,2.36
642,Mozzarella cheese,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",18,89,8.6,0.8,203,7.17,2.812,209,0.31,2.32
643,Cheddar cheese soup,"Cheddar cheese soup, home recipe, canned or ready-to-serve",6,64,0.1,1.1,80,2.06,0.758,369,0.08,4.3
644,Beer cheese soup,"Beer cheese soup, made with milk",45,182,0.3,0.3,162,6.19,3.659,303,0.37,0.8
645,Meat,"Meat, NFS",89,1,0.0,0.0,14,29.65,3.876,386,2.96,0.0
646,Meat,"Meat, baby food, NS as to type, NS as to strained or junior",56,3,1.9,0.0,34,12.86,2.255,45,1.19,0.0
